iter	Passed	Remaining
774	9950	2888
775	9962	2875
776	9976	2863
777	9987	2850
778	10000	2836
779	10012	2824
780	10025	2811
781	10037	2798
782	10051	2785
783	10064	2772
784	10077	2760
785	10091	2747
786	10103	2734
787	10115	2721
788	10128	2708
789	10141	2695
790	10154	2682
791	10166	2670
792	10179	2657
793	10194	2644
794	10207	2632
795	10220	2619
796	10234	2606
797	10247	2594
798	10261	2581
799	10273	2568
800	10286	2555
801	10297	2542
802	10310	2529
803	10322	2516
804	10335	2503
805	10346	2490
806	10359	2477
807	10371	2464
808	10384	2451
809	10396	2438
810	10410	2426
811	10422	2413
812	10435	2400
813	10448	2387
814	10461	2374
815	10474	2361
816	10486	2348
817	10499	2335
818	10511	2323
819	10524	2310
820	10536	2297
821	10549	2284
822	10562	2271
823	10574	2258
824	10587	2245
825	10600	2233
826	10613	2220
827	10625	2207
828	10640	2194
829	10653	2181
830	10667	2169
831	10679	2156
832	10691	2143
833	10703	2130
834	10714	2117
835	10727	2104
836	10739	2091
837	10751	2078
838	10762	2065
839	10775	2052
840	10788	2039
841	10800	2026
842	10812	2013
843	10825	2000
844	10837	1987
845	10849	1975
846	10862	1962
847	10875	1949
848	10887	1936
849	10899	1923
850	10911	1910
851	10924	1897
852	10937	1884
853	10951	1872
854	10965	1859
855	10977	1846
856	10991	1833
857	11003	1821
858	11016	1808
859	11028	1795
860	11041	1782
861	11054	1769
862	11067	1756
863	11081	1744
864	11093	1731
865	11105	1718
866	11117	1705
867	11129	1692
868	11141	1679
869	11154	1666
870	11167	1653
871	11180	1641
872	11192	1628
873	11203	1615
874	11215	1602
875	11229	1589
876	11241	1576
877	11253	1563
878	11267	1550
879	11280	1538
880	11295	1525
881	11307	1512
882	11320	1500
883	11332	1487
884	11345	1474
885	11357	1461
886	11369	1448
887	11383	1435
888	11397	1423
889	11410	1410
890	11421	1397
891	11432	1384
892	11444	1371
893	11456	1358
894	11468	1345
895	11480	1332
896	11495	1320
897	11507	1307
898	11519	1294
899	11532	1281
900	11543	1268
901	11554	1255
902	11565	1242
903	11577	1229
904	11589	1216
905	11601	1203
906	11613	1190
907	11625	1177
908	11637	1165
909	11649	1152
910	11661	1139
911	11673	1126
912	11685	1113
913	11697	1100
914	11710	1087
915	11722	1075
916	11734	1062
917	11746	1049
918	11759	1036
919	11771	1023
920	11783	1010
921	11796	997
922	11809	985
923	11822	972
924	11833	959
925	11851	947
926	11864	934
927	11878	921
928	11891	908
929	11903	895
930	11916	883
931	11928	870
932	11940	857
933	11952	844
934	11964	831
935	11976	818
936	11988	806
937	12000	793
938	12013	780
939	12025	767
940	12037	754
941	12049	741
942	12061	729
943	12072	716
944	12085	703
945	12099	690
946	12112	677
947	12124	665
948	12136	652
949	12148	639
950	12160	626
951	12172	613
952	12184	600
953	12197	588
954	12209	575
955	12221	562
956	12233	549
957	12245	536
958	12259	524
959	12271	511
960	12283	498
961	12298	485
962	12312	473
963	12325	460
964	12337	447
965	12350	434
966	12363	421
967	12375	409
968	12388	396
969	12401	383
970	12414	370
971	12426	357
972	12439	345
973	12450	332
974	12462	319
975	12475	306
976	12487	293
977	12499	281
978	12513	268
979	12526	255
980	12539	242
981	12551	230
982	12564	217
983	12576	204
984	12589	191
985	12602	178
986	12614	166
987	12627	153
988	12640	140
989	12652	127
990	12665	115
991	12677	102
992	12689	89
993	12702	76
994	12715	63
995	12728	51
996	12740	38
997	12753	25
998	12766	12
999	12779	0
